Liquid	Solid	Run	No.	Left	Right	Mean	Height	Width
Water	glass	Water	1	 23.3	 25.1	 24.2	0.473	5.831
Water	glass	Water	2	 23.3	 25.0	 24.2	0.472	5.831
Water	glass	Water	3	 23.3	 25.1	 24.2	0.472	5.830
Water	glass	Water	4	 23.3	 25.0	 24.1	0.471	5.829
Water	glass	Water	5	 23.2	 25.0	 24.1	0.471	5.830
Water	glass	Water	6	 23.2	 25.0	 24.1	0.471	5.830
Water	glass	Water	7	 23.3	 25.0	 24.1	0.471	5.830
Water	glass	Water	8	 23.3	 25.0	 24.2	0.471	5.831
Water	glass	Water	9	 23.2	 25.1	 24.2	0.471	5.830
Water	glass	Water	10	 23.2	 25.0	 24.1	0.471	5.830
Water	glass	Water	11	 23.2	 24.9	 24.1	0.471	5.831
Water	glass	Water	12	 23.3	 25.0	 24.1	0.471	5.831
Water	glass	Water	13	 23.2	 25.0	 24.1	0.471	5.833
Water	glass	Water	14	 23.2	 25.0	 24.1	0.471	5.831
Water	glass	Water	15	 23.3	 24.9	 24.1	0.471	5.830
Water	glass	Water	16	 23.2	 25.0	 24.1	0.471	5.831
Water	glass	Water	17	 23.2	 24.9	 24.1	0.470	5.830
Water	glass	Water	18	 23.2	 25.0	 24.1	0.471	5.831
Water	glass	Water	19	 23.2	 25.0	 24.1	0.470	5.831
Water	glass	Water	20	 23.3	 24.9	 24.1	0.470	5.830
Water	glass	Water	21	 23.2	 24.9	 24.1	0.470	5.831
Water	glass	Water	22	 23.2	 24.9	 24.0	0.470	5.831
Water	glass	Water	23	 23.2	 25.0	 24.1	0.470	5.830
Water	glass	Water	24	 23.2	 24.9	 24.1	0.470	5.830
Water	glass	Water	25	 23.2	 24.9	 24.0	0.470	5.831
Water	glass	Water	26	 23.2	 24.9	 24.0	0.470	5.831
Water	glass	Water	27	 23.2	 24.9	 24.1	0.470	5.831
Water	glass	Water	28	 23.2	 24.9	 24.0	0.470	5.833
Water	glass	Water	29	 23.2	 24.9	 24.0	0.470	5.832
Water	glass	Water	30	 23.2	 24.9	 24.0	0.470	5.833
Water	glass	Water	31	 23.2	 24.9	 24.0	0.470	5.832
Water	glass	Water	32	 23.2	 24.9	 24.0	0.469	5.831
Water	glass	Water	33	 23.2	 24.9	 24.0	0.469	5.831
Water	glass	Water	34	 23.1	 24.9	 24.0	0.469	5.831
Water	glass	Water	35	 23.1	 24.9	 24.0	0.469	5.831
Water	glass	Water	36	 23.1	 24.9	 24.0	0.469	5.831
Water	glass	Water	37	 23.1	 24.9	 24.0	0.469	5.831
Water	glass	Water	38	 23.1	 24.9	 24.0	0.469	5.831
Water	glass	Water	39	 23.2	 24.8	 24.0	0.469	5.831
Water	glass	Water	40	 23.1	 24.9	 24.0	0.469	5.832
Water	glass	Water	41	 23.1	 24.9	 24.0	0.469	5.832
Water	glass	Water	42	 23.1	 24.9	 24.0	0.468	5.830
Water	glass	Water	43	 23.2	 24.8	 24.0	0.468	5.829
Water	glass	Water	44	 23.1	 24.8	 24.0	0.468	5.830
Water	glass	Water	45	 23.0	 24.8	 23.9	0.468	5.830
