No.,DropPhase,Ext.Phase,Run Name,Gamma,Area,Volume
1,Water,Air,kropla3,66.61,23.02,10.38
2,Water,Air,kropla3,66.57,23.01,10.38
3,Water,Air,kropla3,66.58,23.01,10.38
4,Water,Air,kropla3,66.65,23.00,10.38
5,Water,Air,kropla3,66.67,23.00,10.37
6,Water,Air,kropla3,66.63,22.99,10.37
7,Water,Air,kropla3,66.54,22.99,10.37
8,Water,Air,kropla3,66.56,22.99,10.37
9,Water,Air,kropla3,66.64,22.99,10.37
10,Water,Air,kropla3,66.63,22.99,10.37
11,Water,Air,kropla3,66.51,22.99,10.37
12,Water,Air,kropla3,66.51,22.99,10.37
13,Water,Air,kropla3,66.52,22.99,10.36
14,Water,Air,kropla3,66.52,22.98,10.36
15,Water,Air,kropla3,66.53,22.98,10.36
16,Water,Air,kropla3,66.65,22.98,10.36
17,Water,Air,kropla3,66.55,22.98,10.36
18,Water,Air,kropla3,66.58,22.98,10.36
19,Water,Air,kropla3,66.63,22.97,10.36
20,Water,Air,kropla3,66.52,22.98,10.36
21,Water,Air,kropla3,66.58,22.97,10.36
22,Water,Air,kropla3,66.64,22.97,10.35
23,Water,Air,kropla3,66.66,22.97,10.35
24,Water,Air,kropla3,66.56,22.97,10.35
25,Water,Air,kropla3,66.56,22.97,10.35
26,Water,Air,kropla3,66.60,22.97,10.35
27,Water,Air,kropla3,66.58,22.97,10.35
28,Water,Air,kropla3,66.58,22.96,10.35
29,Water,Air,kropla3,66.59,22.96,10.35
30,Water,Air,kropla3,66.60,22.96,10.35
31,Water,Air,kropla3,66.61,22.96,10.35
32,Water,Air,kropla3,66.62,22.96,10.35
33,Water,Air,kropla3,66.59,22.96,10.35
34,Water,Air,kropla3,66.59,22.96,10.35
35,Water,Air,kropla3,66.62,22.96,10.35
36,Water,Air,kropla3,66.63,22.95,10.35
37,Water,Air,kropla3,66.59,22.95,10.34
38,Water,Air,kropla3,66.63,22.95,10.35
39,Water,Air,kropla3,66.60,22.95,10.34
40,Water,Air,kropla3,66.56,22.95,10.34
41,Water,Air,kropla3,66.54,22.95,10.34
42,Water,Air,kropla3,66.63,22.95,10.34
43,Water,Air,kropla3,66.54,22.95,10.34
44,Water,Air,kropla3,66.51,22.95,10.34
45,Water,Air,kropla3,66.55,22.95,10.34
46,Water,Air,kropla3,66.69,22.95,10.34
47,Water,Air,kropla3,66.60,22.95,10.34
48,Water,Air,kropla3,66.66,22.95,10.34
49,Water,Air,kropla3,66.66,22.95,10.34
50,Water,Air,kropla3,66.46,22.95,10.34
51,Water,Air,kropla3,66.70,22.94,10.34
52,Water,Air,kropla3,66.65,22.94,10.34
53,Water,Air,kropla3,66.63,22.94,10.34
54,Water,Air,kropla3,66.57,22.95,10.34
55,Water,Air,kropla3,66.67,22.94,10.34
56,Water,Air,kropla3,66.55,22.94,10.34
57,Water,Air,kropla3,66.49,22.94,10.34
58,Water,Air,kropla3,66.68,22.94,10.34
59,Water,Air,kropla3,66.60,22.94,10.34
60,Water,Air,kropla3,66.50,22.94,10.34
61,Water,Air,kropla3,66.53,22.94,10.34
62,Water,Air,kropla3,66.64,22.94,10.34
63,Water,Air,kropla3,66.66,22.93,10.33
64,Water,Air,kropla3,66.48,22.94,10.33
65,Water,Air,kropla3,66.72,22.93,10.33
66,Water,Air,kropla3,66.68,22.93,10.33
67,Water,Air,kropla3,66.63,22.93,10.33
68,Water,Air,kropla3,66.65,22.93,10.33
69,Water,Air,kropla3,66.60,22.92,10.33
70,Water,Air,kropla3,66.59,22.92,10.33
71,Water,Air,kropla3,66.56,22.92,10.33
72,Water,Air,kropla3,66.48,22.92,10.32
73,Water,Air,kropla3,66.63,22.92,10.32
74,Water,Air,kropla3,66.58,22.92,10.32
75,Water,Air,kropla3,66.52,22.92,10.32
76,Water,Air,kropla3,66.58,22.92,10.32
77,Water,Air,kropla3,66.61,22.91,10.32
78,Water,Air,kropla3,66.54,22.92,10.32
79,Water,Air,kropla3,66.57,22.91,10.32
80,Water,Air,kropla3,66.51,22.91,10.32
81,Water,Air,kropla3,66.58,22.91,10.32
82,Water,Air,kropla3,66.60,22.91,10.32
83,Water,Air,kropla3,66.51,22.91,10.31
84,Water,Air,kropla3,66.51,22.91,10.31
85,Water,Air,kropla3,66.54,22.90,10.31
86,Water,Air,kropla3,66.58,22.90,10.31
87,Water,Air,kropla3,66.53,22.90,10.31
88,Water,Air,kropla3,66.60,22.90,10.31
89,Water,Air,kropla3,66.54,22.90,10.31
90,Water,Air,kropla3,66.57,22.90,10.31
91,Water,Air,kropla3,66.56,22.90,10.31
92,Water,Air,kropla3,66.58,22.90,10.31
93,Water,Air,kropla3,66.56,22.90,10.31
94,Water,Air,kropla3,66.56,22.89,10.31
95,Water,Air,kropla3,66.59,22.89,10.30
96,Water,Air,kropla3,66.56,22.89,10.30
97,Water,Air,kropla3,66.55,22.89,10.30
98,Water,Air,kropla3,66.55,22.88,10.30
99,Water,Air,kropla3,66.55,22.88,10.30
100,Water,Air,kropla3,66.55,22.87,10.29
