Liquid	Solid	Run	No.	Left	Right	Mean	Height	Width
Water	pleksi	Water	1	 46.1	 46.4	 46.3	0.462	3.800
Water	pleksi	Water	2	 46.0	 46.4	 46.2	0.461	3.799
Water	pleksi	Water	3	 46.0	 46.4	 46.2	0.461	3.800
Water	pleksi	Water	4	 46.0	 46.3	 46.2	0.460	3.799
Water	pleksi	Water	5	 45.9	 46.4	 46.1	0.460	3.798
Water	pleksi	Water	6	 46.0	 46.3	 46.1	0.459	3.798
Water	pleksi	Water	7	 45.9	 46.4	 46.1	0.460	3.799
Water	pleksi	Water	8	 45.9	 46.4	 46.1	0.460	3.798
Water	pleksi	Water	9	 45.8	 46.3	 46.1	0.459	3.798
Water	pleksi	Water	10	 45.9	 46.3	 46.1	0.459	3.798
Water	pleksi	Water	11	 45.9	 46.3	 46.1	0.459	3.798
Water	pleksi	Water	12	 45.8	 46.4	 46.1	0.459	3.798
Water	pleksi	Water	13	 45.9	 46.3	 46.1	0.459	3.798
Water	pleksi	Water	14	 45.8	 46.3	 46.1	0.459	3.798
Water	pleksi	Water	15	 45.9	 46.3	 46.1	0.459	3.798
Water	pleksi	Water	16	 45.8	 46.4	 46.1	0.459	3.797
Water	pleksi	Water	17	 45.8	 46.3	 46.1	0.459	3.797
Water	pleksi	Water	18	 45.9	 46.3	 46.1	0.459	3.797
Water	pleksi	Water	19	 45.8	 46.3	 46.1	0.459	3.797
Water	pleksi	Water	20	 45.7	 46.4	 46.0	0.459	3.797
Water	pleksi	Water	21	 45.8	 46.3	 46.1	0.459	3.797
Water	pleksi	Water	22	 45.7	 46.3	 46.0	0.459	3.797
Water	pleksi	Water	23	 45.8	 46.3	 46.1	0.459	3.797
Water	pleksi	Water	24	 45.7	 46.3	 46.0	0.459	3.797
Water	pleksi	Water	25	 45.7	 46.3	 46.0	0.458	3.797
Water	pleksi	Water	26	 45.8	 46.3	 46.0	0.458	3.796
Water	pleksi	Water	27	 45.8	 46.3	 46.0	0.458	3.797
Water	pleksi	Water	28	 45.8	 46.3	 46.1	0.458	3.797
Water	pleksi	Water	29	 45.8	 46.3	 46.0	0.458	3.798
Water	pleksi	Water	30	 45.7	 46.3	 46.0	0.458	3.797
Water	pleksi	Water	31	 45.8	 46.3	 46.0	0.458	3.797
Water	pleksi	Water	32	 45.8	 46.3	 46.0	0.458	3.797
Water	pleksi	Water	33	 45.7	 46.2	 46.0	0.458	3.797
Water	pleksi	Water	34	 45.8	 46.3	 46.0	0.458	3.797
Water	pleksi	Water	35	 45.8	 46.3	 46.0	0.458	3.796
Water	pleksi	Water	36	 45.8	 46.2	 46.0	0.457	3.796
Water	pleksi	Water	37	 45.8	 46.2	 46.0	0.457	3.797
Water	pleksi	Water	38	 45.8	 46.2	 46.0	0.458	3.797
Water	pleksi	Water	39	 45.7	 46.3	 46.0	0.458	3.796
Water	pleksi	Water	40	 45.7	 46.2	 46.0	0.458	3.797
Water	pleksi	Water	41	 45.7	 46.2	 46.0	0.457	3.796
Water	pleksi	Water	42	 45.7	 46.2	 46.0	0.457	3.796
Water	pleksi	Water	43	 45.7	 46.2	 46.0	0.457	3.796
Water	pleksi	Water	44	 45.7	 46.2	 46.0	0.457	3.796
Water	pleksi	Water	45	 45.7	 46.2	 46.0	0.457	3.796
Water	pleksi	Water	46	 45.7	 46.2	 46.0	0.457	3.796
Water	pleksi	Water	47	 45.7	 46.2	 45.9	0.457	3.796
Water	pleksi	Water	48	 45.7	 46.2	 45.9	0.457	3.796
Water	pleksi	Water	49	 45.7	 46.2	 46.0	0.457	3.796
Water	pleksi	Water	50	 45.7	 46.2	 45.9	0.457	3.795
Water	pleksi	Water	51	 45.7	 46.2	 46.0	0.456	3.796
Water	pleksi	Water	52	 45.7	 46.1	 45.9	0.456	3.796
Water	pleksi	Water	53	 45.7	 46.2	 45.9	0.457	3.795
Water	pleksi	Water	54	 45.7	 46.2	 45.9	0.457	3.795
Water	pleksi	Water	55	 45.8	 46.1	 45.9	0.456	3.795
Water	pleksi	Water	56	 45.7	 46.1	 45.9	0.456	3.795
Water	pleksi	Water	57	 45.7	 46.2	 45.9	0.456	3.795
Water	pleksi	Water	58	 45.7	 46.2	 45.9	0.456	3.795
Water	pleksi	Water	59	 45.6	 46.1	 45.9	0.456	3.796
Water	pleksi	Water	60	 45.6	 46.1	 45.9	0.456	3.795
Water	pleksi	Water	61	 45.6	 46.2	 45.9	0.456	3.795
Water	pleksi	Water	62	 45.6	 46.2	 45.9	0.456	3.795
Water	pleksi	Water	63	 45.6	 46.1	 45.9	0.456	3.795
Water	pleksi	Water	64	 45.6	 46.2	 45.9	0.456	3.795
Water	pleksi	Water	65	 45.7	 46.1	 45.9	0.456	3.795
Water	pleksi	Water	66	 45.6	 46.1	 45.9	0.456	3.794
Water	pleksi	Water	67	 45.6	 46.1	 45.9	0.456	3.794
Water	pleksi	Water	68	 45.6	 46.1	 45.8	0.456	3.795
Water	pleksi	Water	69	 45.5	 46.1	 45.8	0.455	3.794
Water	pleksi	Water	70	 45.6	 46.1	 45.8	0.455	3.794
Water	pleksi	Water	71	 45.6	 46.1	 45.9	0.455	3.794
Water	pleksi	Water	72	 45.6	 46.1	 45.8	0.455	3.794
Water	pleksi	Water	73	 45.5	 46.1	 45.8	0.455	3.794
Water	pleksi	Water	74	 45.6	 46.1	 45.8	0.455	3.794
Water	pleksi	Water	75	 45.5	 46.1	 45.8	0.456	3.794
Water	pleksi	Water	76	 45.6	 46.1	 45.8	0.456	3.794
Water	pleksi	Water	77	 45.6	 46.1	 45.8	0.455	3.794
Water	pleksi	Water	78	 45.5	 46.1	 45.8	0.455	3.794
Water	pleksi	Water	79	 45.5	 46.1	 45.8	0.455	3.793
Water	pleksi	Water	80	 45.6	 46.1	 45.8	0.455	3.793
Water	pleksi	Water	81	 45.5	 46.1	 45.8	0.455	3.793
Water	pleksi	Water	82	 45.6	 46.0	 45.8	0.455	3.793
Water	pleksi	Water	83	 45.5	 46.1	 45.8	0.455	3.793
Water	pleksi	Water	84	 45.6	 46.1	 45.8	0.454	3.792
Water	pleksi	Water	85	 45.6	 46.1	 45.8	0.454	3.793
Water	pleksi	Water	86	 45.5	 46.1	 45.8	0.455	3.793
Water	pleksi	Water	87	 45.5	 46.1	 45.8	0.454	3.792
Water	pleksi	Water	88	 45.6	 46.0	 45.8	0.454	3.792
Water	pleksi	Water	89	 45.5	 46.0	 45.8	0.454	3.794
Water	pleksi	Water	90	 45.5	 46.0	 45.8	0.454	3.792
Water	pleksi	Water	91	 45.5	 46.0	 45.8	0.454	3.794
Water	pleksi	Water	92	 45.5	 46.1	 45.8	0.454	3.792
Water	pleksi	Water	93	 45.5	 46.0	 45.8	0.454	3.792
Water	pleksi	Water	94	 45.5	 46.0	 45.7	0.454	3.793
Water	pleksi	Water	95	 45.5	 46.0	 45.8	0.454	3.792
Water	pleksi	Water	96	 45.5	 46.0	 45.8	0.454	3.793
Water	pleksi	Water	97	 45.5	 45.9	 45.7	0.454	3.792
Water	pleksi	Water	98	 45.6	 46.0	 45.8	0.454	3.792
Water	pleksi	Water	99	 45.5	 46.0	 45.8	0.454	3.792
Water	pleksi	Water	100	 45.5	 46.0	 45.8	0.454	3.793
