Liquid	Solid	Run	No.	Left	Right	Mean	Height	Width
Water	mikrofibra	Water	1	 99.9	 98.6	 99.3	1.419	3.196
Water	mikrofibra	Water	2	 99.8	 98.6	 99.2	1.417	3.196
Water	mikrofibra	Water	3	 99.8	 98.6	 99.2	1.417	3.195
Water	mikrofibra	Water	4	 99.8	 98.7	 99.2	1.417	3.196
Water	mikrofibra	Water	5	 99.7	 98.8	 99.2	1.417	3.195
Water	mikrofibra	Water	6	 99.8	 98.8	 99.3	1.417	3.195
Water	mikrofibra	Water	7	 99.8	 98.7	 99.3	1.417	3.195
Water	mikrofibra	Water	8	 99.8	 98.7	 99.3	1.417	3.195
Water	mikrofibra	Water	9	 99.8	 98.7	 99.2	1.417	3.195
Water	mikrofibra	Water	10	 99.8	 98.7	 99.2	1.416	3.195
Water	mikrofibra	Water	11	 99.7	 98.6	 99.2	1.416	3.196
Water	mikrofibra	Water	12	 99.7	 98.7	 99.2	1.416	3.196
Water	mikrofibra	Water	13	 99.8	 98.6	 99.2	1.416	3.196
Water	mikrofibra	Water	14	 99.8	 98.6	 99.2	1.416	3.195
Water	mikrofibra	Water	15	 99.9	 98.7	 99.3	1.416	3.195
Water	mikrofibra	Water	16	 99.8	 98.6	 99.2	1.416	3.195
Water	mikrofibra	Water	17	 99.7	 98.6	 99.2	1.416	3.196
Water	mikrofibra	Water	18	 99.7	 98.7	 99.2	1.416	3.195
Water	mikrofibra	Water	19	 99.8	 98.7	 99.2	1.415	3.195
Water	mikrofibra	Water	20	 99.8	 98.7	 99.2	1.415	3.195
Water	mikrofibra	Water	21	 99.7	 98.8	 99.2	1.415	3.195
Water	mikrofibra	Water	22	 99.6	 98.8	 99.2	1.416	3.196
Water	mikrofibra	Water	23	 99.7	 98.7	 99.2	1.416	3.195
Water	mikrofibra	Water	24	 99.7	 98.7	 99.2	1.415	3.195
Water	mikrofibra	Water	25	 99.7	 98.7	 99.2	1.415	3.195
Water	mikrofibra	Water	26	 99.7	 98.6	 99.1	1.415	3.196
Water	mikrofibra	Water	27	 99.8	 98.7	 99.3	1.414	3.195
Water	mikrofibra	Water	28	 99.7	 98.6	 99.1	1.415	3.196
Water	mikrofibra	Water	29	 99.7	 98.7	 99.2	1.415	3.195
Water	mikrofibra	Water	30	 99.8	 98.7	 99.3	1.414	3.195
Water	mikrofibra	Water	31	 99.7	 98.7	 99.2	1.414	3.195
Water	mikrofibra	Water	32	 99.7	 98.7	 99.2	1.415	3.195
Water	mikrofibra	Water	33	 99.7	 98.6	 99.2	1.414	3.195
Water	mikrofibra	Water	34	 99.7	 98.7	 99.2	1.414	3.195
Water	mikrofibra	Water	35	 99.8	 98.7	 99.2	1.414	3.195
Water	mikrofibra	Water	36	 99.8	 98.8	 99.3	1.414	3.195
Water	mikrofibra	Water	37	 99.7	 98.7	 99.2	1.414	3.195
Water	mikrofibra	Water	38	 99.8	 98.6	 99.2	1.413	3.195
Water	mikrofibra	Water	39	 99.7	 98.6	 99.1	1.414	3.195
Water	mikrofibra	Water	40	 99.7	 98.6	 99.1	1.413	3.195
Water	mikrofibra	Water	41	 99.7	 98.7	 99.2	1.413	3.195
Water	mikrofibra	Water	42	 99.7	 98.8	 99.2	1.413	3.195
Water	mikrofibra	Water	43	 99.6	 98.7	 99.2	1.413	3.195
Water	mikrofibra	Water	44	 99.7	 98.8	 99.3	1.413	3.195
Water	mikrofibra	Water	45	 99.6	 98.7	 99.1	1.413	3.195
Water	mikrofibra	Water	46	 99.7	 98.7	 99.2	1.413	3.195
Water	mikrofibra	Water	47	 99.7	 98.7	 99.2	1.413	3.195
Water	mikrofibra	Water	48	 99.7	 98.8	 99.2	1.413	3.195
Water	mikrofibra	Water	49	 99.7	 98.8	 99.2	1.413	3.195
Water	mikrofibra	Water	50	 99.8	 98.8	 99.3	1.413	3.195
Water	mikrofibra	Water	51	 99.7	 98.8	 99.3	1.413	3.195
Water	mikrofibra	Water	52	 99.7	 98.8	 99.3	1.412	3.195
Water	mikrofibra	Water	53	 99.8	 98.8	 99.3	1.412	3.195
Water	mikrofibra	Water	54	 99.6	 98.8	 99.2	1.412	3.195
Water	mikrofibra	Water	55	 99.8	 98.7	 99.2	1.412	3.195
Water	mikrofibra	Water	56	 99.8	 98.7	 99.2	1.412	3.195
Water	mikrofibra	Water	57	 99.6	 98.7	 99.2	1.412	3.195
Water	mikrofibra	Water	58	 99.7	 98.7	 99.2	1.412	3.195
Water	mikrofibra	Water	59	 99.8	 98.8	 99.3	1.412	3.194
Water	mikrofibra	Water	60	 99.8	 98.8	 99.3	1.412	3.195
Water	mikrofibra	Water	61	 99.7	 98.7	 99.2	1.412	3.195
Water	mikrofibra	Water	62	 99.7	 98.7	 99.2	1.411	3.195
Water	mikrofibra	Water	63	 99.7	 98.7	 99.2	1.411	3.195
Water	mikrofibra	Water	64	 99.6	 98.8	 99.2	1.411	3.195
Water	mikrofibra	Water	65	 99.7	 98.8	 99.3	1.411	3.194
Water	mikrofibra	Water	66	 99.7	 98.8	 99.2	1.411	3.195
Water	mikrofibra	Water	67	 99.7	 98.8	 99.3	1.411	3.194
Water	mikrofibra	Water	68	 99.6	 98.8	 99.2	1.411	3.195
Water	mikrofibra	Water	69	 99.7	 98.8	 99.3	1.411	3.194
Water	mikrofibra	Water	70	 99.7	 98.9	 99.3	1.411	3.194
Water	mikrofibra	Water	71	 99.6	 98.9	 99.3	1.411	3.194
Water	mikrofibra	Water	72	 99.7	 98.9	 99.3	1.411	3.194
Water	mikrofibra	Water	73	 99.7	 98.9	 99.3	1.410	3.195
Water	mikrofibra	Water	74	 99.6	 98.8	 99.2	1.410	3.195
Water	mikrofibra	Water	75	 99.6	 98.9	 99.2	1.411	3.194
Water	mikrofibra	Water	76	 99.6	 98.9	 99.2	1.411	3.194
Water	mikrofibra	Water	77	 99.7	 98.9	 99.3	1.410	3.194
Water	mikrofibra	Water	78	 99.7	 98.9	 99.3	1.410	3.194
Water	mikrofibra	Water	79	 99.7	 99.0	 99.3	1.410	3.194
Water	mikrofibra	Water	80	 99.6	 99.1	 99.4	1.410	3.194
Water	mikrofibra	Water	81	 99.7	 99.0	 99.4	1.411	3.193
Water	mikrofibra	Water	82	 99.7	 98.9	 99.3	1.411	3.194
Water	mikrofibra	Water	83	 99.7	 98.9	 99.3	1.411	3.194
Water	mikrofibra	Water	84	 99.7	 99.1	 99.4	1.411	3.194
Water	mikrofibra	Water	85	 99.6	 99.0	 99.3	1.410	3.194
Water	mikrofibra	Water	86	 99.7	 98.9	 99.3	1.410	3.194
Water	mikrofibra	Water	87	 99.6	 99.0	 99.3	1.410	3.194
Water	mikrofibra	Water	88	 99.6	 98.8	 99.2	1.410	3.194
Water	mikrofibra	Water	89	 99.6	 98.8	 99.2	1.410	3.194
Water	mikrofibra	Water	90	 99.6	 98.8	 99.2	1.410	3.194
Water	mikrofibra	Water	91	 99.6	 98.8	 99.2	1.410	3.195
Water	mikrofibra	Water	92	 99.6	 98.8	 99.2	1.409	3.194
Water	mikrofibra	Water	93	 99.6	 98.8	 99.2	1.410	3.194
Water	mikrofibra	Water	94	 99.7	 98.7	 99.2	1.409	3.194
Water	mikrofibra	Water	95	 99.6	 98.8	 99.2	1.409	3.195
Water	mikrofibra	Water	96	 99.6	 98.7	 99.2	1.409	3.195
Water	mikrofibra	Water	97	 99.7	 98.7	 99.2	1.409	3.194
Water	mikrofibra	Water	98	 99.6	 98.8	 99.2	1.409	3.195
Water	mikrofibra	Water	99	 99.6	 98.7	 99.2	1.409	3.195
Water	mikrofibra	Water	100	 99.6	 98.7	 99.1	1.409	3.195
