Liquid	Solid	Run	No.	Left	Right	Mean	Height	Width
Water	Teflon	Water	1	 40.2	 36.0	 38.1	0.440	5.051
Water	Teflon	Water	2	 40.1	 36.0	 38.1	0.440	5.050
Water	Teflon	Water	3	 40.1	 36.1	 38.1	0.440	5.049
Water	Teflon	Water	4	 40.1	 36.0	 38.1	0.440	5.050
Water	Teflon	Water	5	 40.1	 36.0	 38.0	0.440	5.050
Water	Teflon	Water	6	 40.1	 36.0	 38.0	0.440	5.050
Water	Teflon	Water	7	 40.1	 36.0	 38.0	0.439	5.050
Water	Teflon	Water	8	 40.1	 36.0	 38.0	0.440	5.050
Water	Teflon	Water	9	 40.0	 36.0	 38.0	0.440	5.050
Water	Teflon	Water	10	 40.1	 36.0	 38.1	0.440	5.049
Water	Teflon	Water	11	 40.0	 36.0	 38.0	0.439	5.049
Water	Teflon	Water	12	 40.0	 36.0	 38.0	0.440	5.050
Water	Teflon	Water	13	 40.1	 36.0	 38.1	0.439	5.049
Water	Teflon	Water	14	 40.0	 36.0	 38.0	0.439	5.049
Water	Teflon	Water	15	 40.0	 36.0	 38.0	0.439	5.050
Water	Teflon	Water	16	 40.1	 36.0	 38.1	0.439	5.048
Water	Teflon	Water	17	 40.1	 36.0	 38.0	0.438	5.048
Water	Teflon	Water	18	 40.1	 36.0	 38.0	0.439	5.049
Water	Teflon	Water	19	 40.1	 36.0	 38.0	0.439	5.049
Water	Teflon	Water	20	 40.0	 36.0	 38.0	0.439	5.049
Water	Teflon	Water	21	 39.9	 36.0	 37.9	0.439	5.049
Water	Teflon	Water	22	 40.1	 36.0	 38.0	0.439	5.048
Water	Teflon	Water	23	 40.0	 35.9	 37.9	0.438	5.049
Water	Teflon	Water	24	 40.0	 35.9	 38.0	0.438	5.048
Water	Teflon	Water	25	 39.9	 35.9	 37.9	0.439	5.048
Water	Teflon	Water	26	 40.0	 35.9	 37.9	0.438	5.049
Water	Teflon	Water	27	 39.9	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	28	 40.0	 35.9	 38.0	0.438	5.048
Water	Teflon	Water	29	 40.0	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	30	 40.0	 35.9	 38.0	0.438	5.048
Water	Teflon	Water	31	 39.9	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	32	 39.9	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	33	 40.0	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	34	 40.0	 35.9	 38.0	0.438	5.048
Water	Teflon	Water	35	 40.0	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	36	 40.0	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	37	 39.7	 35.9	 37.8	0.438	5.049
Water	Teflon	Water	38	 39.9	 35.9	 37.9	0.438	5.047
Water	Teflon	Water	39	 40.0	 35.9	 37.9	0.438	5.047
Water	Teflon	Water	40	 39.9	 35.9	 37.9	0.438	5.047
Water	Teflon	Water	41	 39.9	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	42	 39.9	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	43	 39.9	 35.8	 37.9	0.437	5.047
Water	Teflon	Water	44	 39.9	 35.9	 37.9	0.438	5.048
Water	Teflon	Water	45	 39.9	 35.9	 37.9	0.437	5.048
Water	Teflon	Water	46	 39.9	 35.9	 37.9	0.437	5.048
Water	Teflon	Water	47	 39.9	 35.9	 37.9	0.437	5.048
Water	Teflon	Water	48	 39.9	 35.9	 37.9	0.437	5.048
Water	Teflon	Water	49	 39.9	 35.9	 37.9	0.437	5.048
Water	Teflon	Water	50	 39.9	 35.9	 37.9	0.437	5.048
Water	Teflon	Water	51	 39.9	 35.8	 37.9	0.437	5.047
Water	Teflon	Water	52	 40.0	 35.8	 37.9	0.437	5.047
Water	Teflon	Water	53	 39.9	 35.8	 37.9	0.437	5.046
Water	Teflon	Water	54	 39.9	 35.8	 37.9	0.437	5.047
Water	Teflon	Water	55	 39.8	 35.8	 37.8	0.437	5.048
Water	Teflon	Water	56	 39.8	 35.9	 37.9	0.437	5.047
Water	Teflon	Water	57	 39.9	 35.8	 37.8	0.437	5.047
Water	Teflon	Water	58	 39.9	 35.8	 37.9	0.437	5.048
Water	Teflon	Water	59	 39.9	 35.8	 37.9	0.437	5.047
Water	Teflon	Water	60	 39.9	 35.8	 37.9	0.436	5.046
Water	Teflon	Water	61	 39.8	 35.8	 37.8	0.436	5.046
Water	Teflon	Water	62	 39.8	 35.8	 37.8	0.436	5.046
Water	Teflon	Water	63	 39.8	 35.8	 37.8	0.436	5.046
Water	Teflon	Water	64	 39.8	 35.8	 37.8	0.436	5.047
Water	Teflon	Water	65	 39.9	 35.8	 37.8	0.436	5.047
Water	Teflon	Water	66	 39.9	 35.8	 37.8	0.436	5.047
Water	Teflon	Water	67	 39.9	 35.8	 37.8	0.436	5.046
Water	Teflon	Water	68	 39.8	 35.8	 37.8	0.436	5.047
Water	Teflon	Water	69	 39.8	 35.8	 37.8	0.436	5.046
Water	Teflon	Water	70	 39.8	 35.8	 37.8	0.436	5.047
Water	Teflon	Water	71	 39.8	 35.8	 37.8	0.436	5.046
Water	Teflon	Water	72	 39.8	 35.7	 37.7	0.436	5.046
Water	Teflon	Water	73	 39.7	 35.7	 37.7	0.436	5.046
Water	Teflon	Water	74	 39.7	 35.8	 37.7	0.435	5.045
Water	Teflon	Water	75	 39.7	 35.8	 37.7	0.435	5.045
Water	Teflon	Water	76	 39.7	 35.7	 37.7	0.435	5.046
Water	Teflon	Water	77	 39.7	 35.7	 37.7	0.435	5.046
Water	Teflon	Water	78	 39.8	 35.8	 37.8	0.435	5.045
Water	Teflon	Water	79	 39.7	 35.7	 37.7	0.435	5.046
Water	Teflon	Water	80	 39.8	 35.7	 37.7	0.435	5.046
Water	Teflon	Water	81	 39.5	 35.8	 37.6	0.435	5.046
Water	Teflon	Water	82	 39.7	 35.7	 37.7	0.435	5.044
Water	Teflon	Water	83	 39.5	 35.7	 37.6	0.435	5.045
Water	Teflon	Water	84	 39.6	 35.7	 37.7	0.435	5.045
Water	Teflon	Water	85	 39.7	 35.7	 37.7	0.434	5.045
Water	Teflon	Water	86	 39.6	 35.7	 37.6	0.434	5.045
Water	Teflon	Water	87	 39.5	 35.7	 37.6	0.434	5.045
Water	Teflon	Water	88	 39.9	 35.6	 37.7	0.434	5.044
Water	Teflon	Water	89	 39.5	 35.7	 37.6	0.434	5.044
Water	Teflon	Water	90	 39.6	 35.7	 37.6	0.434	5.045
