TEMP,B,power,SETP,TIME
299.79,0.0806966,0.0,300.0,0.37387728691101074
299.82,0.0806966,6.2,300.0,2.404491901397705
300.08,0.08075,2.7,300.01,4.430495023727417
300.44,0.0809255,0.9,300.01,6.479009389877319
300.66,0.0811467,0.5,300.01,8.505171060562134
300.74,0.0813603,0.4,300.02,10.54123330116272
300.74,0.0815434,0.5,300.02,12.578684568405151
300.73,0.081696,0.6,300.02,14.604820489883423
300.72,0.0818181,0.6,300.03,16.63585638999939
300.72,0.0819249,0.6,300.03,18.675575494766235
300.73,0.0820241,0.6,300.03,20.705397129058838
300.74,0.0821157,0.5,300.04,22.739646673202515
300.75,0.0821843,0.5,300.04,24.773765563964844
300.77,0.0822606,0.5,300.04,26.804937601089478
300.78,0.0823293,0.5,300.05,28.835268259048462
300.79,0.0823903,0.4,300.05,30.869144916534424
300.8,0.0824437,0.4,300.05,32.904285192489624
300.81,0.0824895,0.4,300.06,34.93897032737732
300.81,0.0825353,0.4,300.06,36.977301359176636
300.82,0.0825734,0.4,300.06,39.000449895858765
300.83,0.0826116,0.4,300.07,41.032674074172974
300.84,0.0826497,0.4,300.07,43.07060098648071
300.84,0.0826802,0.4,300.08,45.104124784469604
300.85,0.0827031,0.3,300.08,47.12881278991699
300.85,0.0827336,0.3,300.08,49.16107249259949
300.86,0.0827565,0.3,300.09,51.196187257766724
300.87,0.082787,0.3,300.09,53.22779440879822
300.87,0.0828099,0.3,300.09,55.252379417419434
300.88,0.0828328,0.3,300.1,57.28421211242676
300.88,0.0828557,0.3,300.1,59.322516441345215
300.89,0.0828633,0.3,300.1,61.353580474853516
300.89,0.0828862,0.3,300.11,63.381080627441406
300.9,0.0829015,0.3,300.11,65.40632247924805
300.9,0.0829167,0.3,300.11,67.43377590179443
300.9,0.082932,0.3,300.12,69.4740424156189
300.91,0.0829549,0.3,300.12,71.51110911369324
300.91,0.0829701,0.3,300.12,73.54362607002258
300.92,0.0829778,0.3,300.13,75.5845456123352
300.92,0.082993,0.3,300.13,77.61638832092285
300.92,0.0830083,0.3,300.13,79.63788199424744
300.93,0.0830235,0.3,300.14,81.67655444145203
300.93,0.0830235,0.3,300.14,83.71392560005188
300.94,0.0830388,0.3,300.14,85.7377507686615
300.94,0.0830464,0.3,300.15,87.77989935874939
300.94,0.0830541,0.3,300.15,89.81155943870544
300.95,0.0830693,0.3,300.15,91.84498262405396
300.95,0.083077,0.3,300.16,93.88603448867798
300.96,0.0830846,0.3,300.16,95.9122986793518
300.96,0.0830998,0.3,300.16,97.9512369632721
300.96,0.0831075,0.3,300.17,99.98158884048462
300.97,0.0831151,0.3,300.17,102.019784450531
300.97,0.0831304,0.3,300.17,104.05040407180786
300.97,0.0831304,0.3,300.18,106.08804821968079
